Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/15  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  06:00:00,6179338.596677196,6179338.596677196,0.0 
 01/15  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/15  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/15  09:00:00,4945258.596677196,4945258.596677196,0.0 
 01/15  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/15  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/15  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/15  24:00:00,6569038.596677196,6569038.596677196,0.0 
 01/16  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  05:00:00,6868649.352263817,6868649.352263816,0.0 
 01/16  06:00:00,6944556.851680044,6944556.851680044,0.0 
 01/16  07:00:00,8097026.437438764,8097026.437438763,0.0 
 01/16  08:00:00,7079039.746955823,7079039.746955823,0.0 
 01/16  09:00:00,5788414.985904714,5788414.985904714,0.0 
 01/16  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/16  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  20:00:00,6119038.596677196,6119038.596677196,0.0 
 01/16  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  23:00:00,7108474.783695601,7108474.783695601,0.0 
 01/16  24:00:00,6686128.577706726,6686128.577706725,0.0 
 01/17  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/17  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  03:00:00,9875282.210560707,9875282.21056071,0.0 
 01/17  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  07:00:00,40986028.904851526,40986028.904851526,26005304.201272503 
 01/17  08:00:00,41513336.41740987,41513336.41740987,27004093.203779396 
 01/17  09:00:00,43918447.92722002,43918447.927220024,10202472.278262919 
 01/17  10:00:00,40107202.32898634,40107202.32898634,3726342.9008946293 
 01/17  11:00:00,36701886.7988321,36701886.79883211,113595.31066085056 
 01/17  12:00:00,37330748.314812474,37330748.31481249,0.0 
 01/17  13:00:00,35221608.099942304,35221608.09994231,0.0 
 01/17  14:00:00,35562855.96470964,35562855.96470963,0.0 
 01/17  15:00:00,33187263.92351938,33187263.923519384,0.0 
 01/17  16:00:00,33788185.80945139,33788185.80945139,0.0 
 01/17  17:00:00,35194743.70977611,35194743.70977611,0.0 
