Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/22  01:00:00,15202975.347365277,15202975.347365277,0.0 
 01/22  02:00:00,15722419.715965636,15722419.715965636,0.0 
 01/22  03:00:00,12676959.566227185,12676959.566227185,0.0 
 01/22  04:00:00,14682714.751014745,14682714.751014747,0.0 
 01/22  05:00:00,14414054.113430386,14414054.113430388,0.0 
 01/22  06:00:00,12323386.812840085,12323386.81284009,0.0 
 01/22  07:00:00,15298048.994450158,15298048.994450158,0.0 
 01/22  08:00:00,12662050.210391233,12662050.210391235,0.0 
 01/22  09:00:00,8841974.006239757,8841974.006239757,0.0 
 01/22  10:00:00,10593385.148358291,10593385.148358293,0.0 
 01/22  11:00:00,8867359.835561443,8867359.835561443,0.0 
 01/22  12:00:00,7135258.355896038,7135258.355896039,0.0 
 01/22  13:00:00,6651158.8227503905,6651158.8227503905,0.0 
 01/22  14:00:00,6302140.671749112,6302140.671749112,0.0 
 01/22  15:00:00,6769629.156610373,6769629.1566103725,0.0 
 01/22  16:00:00,6663537.17904025,6663537.17904025,0.0 
 01/22  17:00:00,6729128.35797603,6729128.35797603,0.0 
 01/22  18:00:00,10609867.046493819,10609867.046493819,0.0 
 01/22  19:00:00,11211283.161090877,11211283.161090873,0.0 
 01/22  20:00:00,10812825.594304945,10812825.594304945,0.0 
 01/22  21:00:00,12650196.901944727,12650196.901944727,0.0 
 01/22  22:00:00,12894581.155590633,12894581.155590635,0.0 
 01/22  23:00:00,12667522.834188398,12667522.834188398,0.0 
 01/22  24:00:00,13587011.65898864,13587011.658988636,0.0 
 01/23  01:00:00,15286869.679376632,15286869.67937663,0.0 
 01/23  02:00:00,13904006.698950443,13904006.698950442,0.0 
 01/23  03:00:00,15374495.84435147,15374495.844351467,0.0 
 01/23  04:00:00,14865633.665150456,14865633.665150458,0.0 
 01/23  05:00:00,14047314.603854734,14047314.60385473,0.0 
 01/23  06:00:00,16583991.125583738,16583991.125583742,0.0 
 01/23  07:00:00,41186428.03819733,41186428.03819733,53708612.52980176 
 01/23  08:00:00,42197211.91829111,42197211.9182911,35194760.61428653 
 01/23  09:00:00,46837225.71262087,46837225.71262087,2572723.6186581342 
 01/23  10:00:00,43793572.62054576,43793572.62054576,0.0 
 01/23  11:00:00,37848220.450543955,37848220.450543955,0.0 
 01/23  12:00:00,35171122.15696815,35171122.15696815,0.0 
 01/23  13:00:00,32138732.92710912,32138732.927109122,0.0 
 01/23  14:00:00,32175991.532806605,32175991.53280661,0.0 
 01/23  15:00:00,30011339.037369616,30011339.03736962,0.0 
 01/23  16:00:00,30707445.868923783,30707445.868923787,0.0 
 01/23  17:00:00,31179126.9803544,31179126.9803544,0.0 
 01/23  18:00:00,30753802.801109828,30753802.801109836,0.0 
 01/23  19:00:00,27070271.85845017,27070271.85845017,0.0 
 01/23  20:00:00,9983935.254119202,9983935.254119204,0.0 
 01/23  21:00:00,8999331.820964705,8999331.820964705,0.0 
 01/23  22:00:00,8999331.820964705,8999331.820964705,0.0 
 01/23  23:00:00,8113188.731125657,8113188.731125657,0.0 
 01/23  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/24  01:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  02:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  04:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/24  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/24  07:00:00,40430344.949162856,40430344.949162856,5661256.503445335 
 01/24  08:00:00,42940428.96951342,42940428.96951342,11707170.800795672 
 01/24  09:00:00,44653103.485763445,44653103.485763445,0.0 
 01/24  10:00:00,42552578.30913347,42552578.30913347,0.0 
 01/24  11:00:00,40961903.92856838,40961903.92856839,0.0 
 01/24  12:00:00,41516626.159381956,41516626.15938196,0.0 
 01/24  13:00:00,40155903.16489721,40155903.16489722,0.0 
 01/24  14:00:00,37766542.14984093,37766542.149840936,0.0 
 01/24  15:00:00,35691969.92446552,35691969.92446553,0.0 
 01/24  16:00:00,38248979.104264066,38248979.10426407,0.0 
 01/24  17:00:00,40404273.339948535,40404273.33994855,0.0 
 01/24  18:00:00,41565083.27656891,41565083.27656892,3653082.7381084254 
 01/24  19:00:00,36893753.1557733,36893753.1557733,149904.28528150712 
 01/24  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/24  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/24  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/24  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/24  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/25  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  07:00:00,39866891.518136606,39866891.518136606,19813047.950018737 
 01/25  08:00:00,42417906.87180853,42417906.87180853,21809623.744378623 
 01/25  09:00:00,42531656.22899051,42531656.22899051,444024.99010696576 
 01/25  10:00:00,37001085.10068998,37001085.100689985,0.0 
 01/25  11:00:00,32817727.58053963,32817727.580539636,0.0 
 01/25  12:00:00,33420143.65493207,33420143.65493207,0.0 
 01/25  13:00:00,32099195.417026598,32099195.4170266,0.0 
 01/25  14:00:00,31486471.55886265,31486471.558862653,0.0 
 01/25  15:00:00,29652299.598692533,29652299.598692536,0.0 
 01/25  16:00:00,31957896.350365944,31957896.350365948,0.0 
 01/25  17:00:00,33492467.167723667,33492467.16772367,0.0 
 01/25  18:00:00,36066329.32973024,36066329.32973025,0.0 
 01/25  19:00:00,32705529.302411355,32705529.30241136,0.0 
 01/25  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/25  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/25  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/25  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/25  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/26  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  02:00:00,8569604.825749658,8569604.82574966,0.0 
 01/26  03:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  04:00:00,8569604.825749658,8569604.82574966,0.0 
 01/26  05:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/26  07:00:00,31285000.694706183,31285000.694706187,288229.9336615521 
 01/26  08:00:00,32961017.008929066,32961017.008929066,1120595.1357935413 
 01/26  09:00:00,31058221.964628473,31058221.964628473,0.0 
 01/26  10:00:00,29134116.12864926,29134116.128649265,0.0 
 01/26  11:00:00,27333310.98631377,27333310.986313775,0.0 
 01/26  12:00:00,27684291.703647625,27684291.70364763,0.0 
 01/26  13:00:00,25470981.598018236,25470981.598018236,0.0 
 01/26  14:00:00,27655114.896868683,27655114.896868695,0.0 
 01/26  15:00:00,27020605.059553035,27020605.059553035,0.0 
 01/26  16:00:00,28170309.29124006,28170309.29124006,0.0 
 01/26  17:00:00,28627568.01686836,28627568.016868368,0.0 
